flight_id;flight_no;scheduled_departure;scheduled_arrival;departure_airport;arrival_airport;status;aircraft_code;actual_departure;actual_arrival
1185;PG0134;10.09.2017 6:50:00;10.09.2017 11:55:00;DME;BTK;Scheduled;319;;
3979;PG0052;25.08.2017 11:50:00;25.08.2017 14:35:00;VKO;HMA;Scheduled;CR2;;
4739;PG0561;05.09.2017 9:30:00;05.09.2017 11:15:00;VKO;AER;Scheduled;763;;
5502;PG0529;12.09.2017 6:50:00;12.09.2017 8:20:00;SVO;UFA;Scheduled;763;;
6938;PG0461;04.09.2017 9:25:00;04.09.2017 10:20:00;SVO;ULV;Scheduled;SU9;;
7784;PG0667;10.09.2017 12:00:00;10.09.2017 14:30:00;SVO;KRO;Scheduled;CR2;;
9478;PG0360;28.08.2017 6:00:00;28.08.2017 8:35:00;LED;REN;Scheduled;CR2;;
11085;PG0569;24.08.2017 12:05:00;24.08.2017 13:10:00;SVX;SCW;Scheduled;733;;
11847;PG0498;12.09.2017 7:15:00;12.09.2017 11:55:00;KZN;IKT;Scheduled;319;;
12012;PG0621;26.08.2017 13:05:00;26.08.2017 14:00:00;KZN;MQF;Scheduled;CR2;;
13113;PG0612;18.08.2017 13:25:00;18.08.2017 17:05:00;ROV;KZN;Scheduled;CN1;;
14806;PG0676;06.09.2017 4:05:00;06.09.2017 4:45:00;PEE;CEK;Scheduled;CR2;;
16837;PG0010;05.09.2017 9:25:00;05.09.2017 11:35:00;JOK;VKO;Scheduled;CN1;;
17173;PG0059;14.09.2017 9:25:00;14.09.2017 11:45:00;SCW;NBC;Cancelled;CN1;;
19807;PG0035;11.09.2017 3:35:00;11.09.2017 6:25:00;MJZ;CNN;Scheduled;CN1;;
23609;PG0648;31.08.2017 8:35:00;31.08.2017 10:00:00;UUA;SVO;Scheduled;CR2;;
23695;PG0388;26.08.2017 7:55:00;26.08.2017 8:25:00;UUA;REN;Scheduled;CR2;;
23780;PG0098;02.09.2017 3:50:00;02.09.2017 7:30:00;SWT;CEK;Scheduled;CN1;;
23945;PG0076;05.09.2017 6:15:00;05.09.2017 8:50:00;EYK;DME;Scheduled;CR2;;
24705;PG0632;26.08.2017 12:00:00;26.08.2017 14:35:00;TJM;PES;Scheduled;CR2;;
25382;PG0556;31.08.2017 6:05:00;31.08.2017 7:55:00;IKT;MJZ;Scheduled;CR2;;
26057;PG0467;26.08.2017 12:45:00;26.08.2017 14:00:00;ULY;RTW;Scheduled;CN1;;
27580;PG0483;12.09.2017 4:20:00;12.09.2017 8:20:00;KEJ;DME;Scheduled;SU9;;
29272;PG0334;05.09.2017 13:20:00;05.09.2017 16:05:00;KGD;ESL;Scheduled;CR2;;
29440;PG0065;02.09.2017 9:15:00;02.09.2017 15:05:00;UUD;VKO;Scheduled;319;;
32658;PG0674;19.08.2017 6:35:00;19.08.2017 9:00:00;KRO;KJA;Scheduled;CR2;;
1;PG0405;16.07.2017 6:35:00;16.07.2017 7:30:00;DME;LED;Arrived;321;16.07.2017 6:44:00;16.07.2017 7:39:00
2;PG0404;05.08.2017 16:05:00;05.08.2017 17:00:00;DME;LED;Arrived;321;05.08.2017 16:06:00;05.08.2017 17:01:00
3;PG0405;05.08.2017 6:35:00;05.08.2017 7:30:00;DME;LED;Arrived;321;05.08.2017 6:39:00;05.08.2017 7:34:00
4;PG0402;09.09.2017 9:25:00;09.09.2017 10:20:00;DME;LED;Scheduled;321;;
5;PG0405;16.08.2017 6:35:00;16.08.2017 7:30:00;DME;LED;On Time;321;;
6;PG0404;16.08.2017 16:05:00;16.08.2017 17:00:00;DME;LED;Scheduled;321;;
7;PG0403;16.08.2017 8:25:00;16.08.2017 9:20:00;DME;LED;Delayed;321;;
