ticket_no;flight_id;fare_conditions;amount
0005432159776;30625;Business;42100,00
0005435212351;30625;Business;42100,00
0005435212386;30625;Business;42100,00
0005435212381;30625;Business;42100,00
0005432211370;30625;Business;42100,00
0005435212357;30625;Comfort;23900,00
0005435212360;30625;Comfort;23900,00
0005435212393;30625;Comfort;23900,00
0005435212374;30625;Comfort;23900,00
0005435212365;30625;Comfort;23900,00
0005435212378;30625;Comfort;23900,00
0005435212362;30625;Comfort;23900,00
0005435212334;30625;Comfort;23900,00
0005435212329;30625;Comfort;23900,00
0005435212370;30625;Comfort;23900,00
0005435212328;30625;Comfort;23900,00
0005435725513;30625;Comfort;23900,00
0005435630915;30625;Comfort;23900,00
0005435212388;30625;Economy;14000,00
0005432159775;30625;Economy;14000,00
0005435212382;30625;Economy;14000,00
0005432211367;30625;Economy;14000,00
0005435212354;30625;Economy;14000,00
0005432211372;30625;Economy;14000,00
0005435212344;30625;Economy;14000,00
0005435212372;30625;Economy;14000,00
0005435212355;30625;Economy;14000,00
0005435212376;30625;Economy;14000,00
0005435212385;30625;Economy;15400,00
0005435725512;30625;Economy;14000,00
0005435212336;30625;Economy;14000,00
0005435212367;30625;Economy;14000,00
0005435212359;30625;Economy;14000,00
0005435212364;30625;Economy;14000,00
0005435725514;30625;Economy;14000,00
0005435212391;30625;Economy;14000,00
0005435212338;30625;Economy;14000,00
0005435212366;30625;Economy;14000,00
0005435212347;30625;Economy;14000,00
0005432211366;30625;Economy;14000,00
0005435212373;30625;Economy;14000,00
0005435212383;30625;Economy;14000,00
0005433656614;30625;Economy;14000,00
0005435212395;30625;Economy;14000,00
0005435212343;30625;Economy;14000,00
0005435212371;30625;Economy;14000,00
0005435212377;30625;Economy;14000,00
0005435212330;30625;Economy;14000,00
0005435212358;30625;Economy;14000,00
0005432211371;30625;Economy;14000,00
0005435212368;30625;Economy;14000,00
0005435212335;30625;Economy;14000,00
0005435212340;30625;Economy;14000,00
0005435212363;30625;Economy;14000,00
0005435212380;30625;Economy;14000,00
0005435212345;30625;Economy;14000,00
0005435212375;30625;Economy;14000,00
0005435212350;30625;Economy;14000,00
0005432211365;30625;Economy;14000,00
0005435212331;30625;Economy;14000,00
0005435212353;30625;Economy;14000,00
